Fold0,0,7,19,43
Fold1,2,8,27,33,39,41
Fold2,5,9,25,26,32
Fold3,12,13,16,17,37,40
Fold4,15,21,28,34,38,42
Fold5,6,14,22,31,36
Fold6,3,4,10,18,30,35
Fold7,1,11,20,23,24,29
Fold8,16,19,20,40
Fold9,7,15,18,26,36,38
Fold10,9,11,13,30,41
Fold11,0,6,27,31,32,33
Fold12,4,12,14,29,39,42
Fold13,2,8,10,24,37
Fold14,5,17,21,23,28,35
Fold15,1,3,22,25,34,43
Fold16,2,20,23,35
Fold17,0,6,11,16,22,27
Fold18,4,5,7,13,14
Fold19,1,19,24,36,37,42
Fold20,3,9,18,30,33,39
Fold21,17,25,26,28,41
Fold22,10,15,21,31,32,34
Fold23,8,12,29,38,40,43
Fold24,2,14,27,39
Fold25,7,20,30,32,41,43
Fold26,8,16,19,22,35
Fold27,1,10,23,24,34,37
Fold28,12,15,28,36,40,42
Fold29,0,4,6,17,26
Fold30,3,13,18,25,29,33
Fold31,5,9,11,21,31,38
Fold32,5,7,10,38
Fold33,4,6,22,39,41,42
Fold34,18,31,33,34,36
Fold35,9,11,16,17,37,43
Fold36,2,3,8,21,32,35
Fold37,0,19,20,25,30
Fold38,12,15,23,24,27,40
Fold39,1,13,14,26,28,29
Fold40,2,27,29,36
Fold41,1,8,10,12,31,38
Fold42,9,13,14,22,30
Fold43,11,21,28,40,41,42
Fold44,0,15,23,24,26,39
Fold45,4,7,18,33,34
Fold46,5,17,20,32,35,43
Fold47,3,6,16,19,25,37
Fold48,10,19,25,35
Fold49,0,4,24,28,33,40
Fold50,3,7,13,29,30
Fold51,5,17,23,27,36,41
Fold52,8,9,18,21,26,39
Fold53,11,31,34,37,42
Fold54,2,14,15,22,32,43
Fold55,1,6,12,16,20,38
Fold56,15,26,29,37
Fold57,11,18,22,27,30,40
Fold58,2,13,19,34,41
Fold59,0,1,3,23,28,31
Fold60,12,14,21,35,42,43
Fold61,7,9,20,24,33
Fold62,6,8,16,32,36,39
Fold63,4,5,10,17,25,38
Fold64,34,38,39,40
Fold65,1,4,23,27,30,31
Fold66,15,17,25,28,36
Fold67,7,22,24,32,42,43
Fold68,0,6,10,18,20,26
Fold69,5,9,11,19,29
Fold70,2,12,13,21,35,41
Fold71,3,8,14,16,33,37
Fold72,1,18,32,33
Fold73,5,10,12,16,35,36
Fold74,3,11,17,25,30
Fold75,0,2,20,38,42,43
Fold76,4,7,14,23,26,40
Fold77,9,15,19,22,24
Fold78,6,28,31,37,39,41
Fold79,8,13,21,27,29,34
Fold80,6,30,36,39
Fold81,2,22,27,38,41,42
Fold82,4,25,29,32,35
Fold83,7,11,15,24,26,28
Fold84,0,1,3,17,19,23
Fold85,13,14,20,34,40
Fold86,8,10,12,18,31,37
Fold87,5,9,16,21,33,43
Fold88,15,21,23,40
Fold89,2,6,11,12,20,35
Fold90,0,4,10,24,41
Fold91,1,8,25,28,38,43
Fold92,5,7,17,19,26,37
Fold93,14,31,32,33,42
Fold94,9,13,16,34,36,39
Fold95,3,18,22,27,29,30
Fold96,7,13,24,36
Fold97,0,16,19,22,38,40
Fold98,2,18,23,31,43
Fold99,3,5,17,29,33,37
Fold100,8,12,15,30,32,39
Fold101,6,9,10,20,35
Fold102,1,11,25,27,28,42
Fold103,4,14,21,26,34,41
Fold104,7,11,14,27
Fold105,8,10,12,19,25,30
Fold106,1,24,33,36,40
Fold107,0,4,20,22,31,35
Fold108,5,16,32,38,42,43
Fold109,2,6,23,26,34
Fold110,3,18,21,29,37,41
Fold111,9,13,15,17,28,39
Fold112,13,14,22,42
Fold113,7,12,16,29,33,38
Fold114,2,9,18,37,43
Fold115,10,21,30,32,34,40
Fold116,1,20,23,25,31,39
Fold117,3,4,8,15,24
Fold118,5,17,19,26,36,41
Fold119,0,6,11,27,28,35
Fold120,16,25,26,28
Fold121,2,19,21,29,34,39
Fold122,5,11,14,15,27
Fold123,3,8,10,31,35,38
Fold124,0,7,13,30,37,43
Fold125,1,18,23,33,41
Fold126,6,12,24,32,36,42
Fold127,4,9,17,20,22,40
Fold128,1,16,22,23
Fold129,9,18,24,32,33,38
Fold130,7,26,27,30,40
Fold131,5,6,11,12,31,37
Fold132,8,10,21,29,34,36
Fold133,0,17,39,42,43
Fold134,3,4,14,15,19,41
Fold135,2,13,20,25,28,35
Fold136,3,23,34,40
Fold137,1,15,22,30,37,43
Fold138,9,14,19,29,33
Fold139,2,11,24,27,36,42
Fold140,7,8,13,32,35,38
Fold141,6,20,26,31,41
Fold142,5,16,17,21,28,39
Fold143,0,4,10,12,18,25
Fold144,7,14,26,27
Fold145,1,10,12,18,33,34
Fold146,0,2,22,36,40
Fold147,17,21,23,29,31,39
Fold148,8,32,37,41,42,43
Fold149,3,5,9,16,28
Fold150,4,11,15,19,24,35
Fold151,6,13,20,25,30,38
Fold152,7,25,26,28
Fold153,8,10,19,23,29,42
Fold154,0,3,6,27,35
Fold155,11,17,22,31,36,40
Fold156,13,24,30,34,38,39
Fold157,1,2,16,32,43
Fold158,4,9,18,33,37,41
Fold159,5,12,14,15,20,21
